Input Business Name,Input Phone,Input Address,API Name,API Phone,API Address,Name Match,Address Match,Phone Match,Name Similarity,Address Similarity,Phone Similarity,Overall NAP Status
SeekersParadox,+234 802 845 7789,"723 Guess Street, Abuja, USA",Result Seekers LTD,0802 533 4020,"10, Area 11, Off Onitsha Cres, Gimbiya St, Garki, Abuja 900103, Federal Capital Territory, Nigeria",No,No,No,0.5,0.239,0.0,FAIL - Significant NAP inconsistencies
Core Spine & Wellness - Dr. Frank Spano  DC,+1 732-574-2227,"180 Tices Ln Ste 105, East Brunswick, USA","Core Spine & Wellness - Dr. Frank Spano, DC",(732) 253-5450,"180 Tices Ln Ste 105, East Brunswick, NJ 08816, USA",Yes,Yes,No,1.0,0.897,0.0,SUCCESS - Name & Address match (Phone missing/different)
NJBack Chiropractic Center,+1 908-272-4009,"47 Hamburg Turnpike, Riverdale, USA",NJBack Chiropractic Center,(973) 874-9777,"47 Hamburg Turnpike, Riverdale, NJ 07457, USA",Yes,Yes,No,1.0,0.88,0.0,SUCCESS - Name & Address match (Phone missing/different)
Dr Daniel M Newcomer - Parlin Spine & Disc LLC,+1 732-534-3866,"3010 Bordentown Ave, Parlin, USA",Dr Daniel M Newcomer - Parlin Spine & Disc LLC,(732) 721-0044,"3010 Bordentown Ave, Parlin, NJ 08859, USA",Yes,Yes,No,1.0,1.0,0.0,SUCCESS - Name & Address match (Phone missing/different)
The Chiropractic Source,+1 732-545-5999,"388 Pompton Ave, Cedar Grove, USA",The Chiropractic Source,(973) 228-0500,"388 Pompton Ave, Cedar Grove, NJ 07009, USA",Yes,Yes,No,1.0,1.0,0.0,SUCCESS - Name & Address match (Phone missing/different)
Northwood West Norwood,+44 20 8299 9999,"493 Norwood Road, London, USA",Northwood West Norwood,020 8299 9999,"493 Norwood Rd, Norwood, London SE27 9DJ, UK",Yes,No,Yes,1.0,0.706,1.0,PARTIAL - Name & Phone match (Address different)
Bongiovi Chiropractic Center,+1 732-574-2225,"764 Jefferson Ave, Rahway, USA",Bongiovi Chiropractic Center,(732) 574-2225,"764 Jefferson Ave, Rahway, NJ 07065, USA",Yes,Yes,Yes,1.0,1.0,1.0,SUCCESS - All NAP data matches
Dreicer testpractic and Wellness Center,+1 732-574-2226,USA,Docere Center for Natural Medicine,(206) 706-0306,"#200, 6800 East Green Lake Way N #250, Seattle, WA 98115, USA",No,Yes,No,0.329,1.0,0.0,FAIL - Significant NAP inconsistencies
testpractic Wellness Center of Baltimore,+1 732-704-3459,USA,Strength and Vitality Wellness Center,(410) 296-4028,"106 Old Court Rd #200, Pikesville, MD 21208, USA",No,Yes,No,0.571,1.0,0.0,FAIL - Significant NAP inconsistencies
Affordable testpractic,+1 908-754-6888,USA,,,,No,No,No,0.0,0.0,0.0,FAIL - No results found
King George testpractic,+1 732-389-8000,USA,,,,No,No,No,0.0,0.0,0.0,FAIL - No results found
Unna testpractic Care,+1 732-534-3866,USA,,,,No,No,No,0.0,0.0,0.0,FAIL - No results found
"Nucor Steel, Crawfordsville",+1 765-364-1323,"4537 Nucor Rd, Crawfordsville, USA",Nucor Steel Crawfordsville,(765) 364-1323,"4537 Nucor Rd, Crawfordsville, IN 47933, USA",Yes,Yes,Yes,1.0,0.877,1.0,SUCCESS - All NAP data matches
Short Lived Stories,+44 7911 123456,"Manchester Square, London, USA",,,,No,No,No,0.0,0.0,0.0,FAIL - No results found
KFC,+91 76050 28557,"Laitumkhrah Main Road Post Office, Shillong, USA",KFC,076050 28557,"Anderson Plaza, Post Office, Laitumkhrah Main Rd, opposite Laitumkhrah, Nongkynrih, Laitumkhrah, Shillong, Meghalaya 793003, India",Yes,Yes,Yes,1.0,0.714,1.0,SUCCESS - All NAP data matches
John D Wood & Co. Estate Agents Notting Hill,+44 20 7100 9142,"129-131 Notting Hill Gate, London, USA",John D Wood & Co. Estate Agents Notting Hill,020 7100 9142,"129-131 Notting Hill Gate, London W11 3LB, UK",Yes,Yes,Yes,1.0,0.861,1.0,SUCCESS - All NAP data matches
John D Wood & Co. Estate Agents Chiswick,+44 20 3151 4309,"45 Turnham Green Terrace, London, USA",John D Wood & Co. Estate Agents Chiswick,020 3151 4309,"45 Turnham Green Terrace, Chiswick, London W4 1RG, UK",Yes,No,Yes,1.0,0.776,1.0,PARTIAL - Name & Phone match (Address different)
John D Wood & Co. Estate Agents Chelsea Green,+44 20 3369 1343,"9-11 Cale Street, London, USA",John D Wood & Co. Estate Agents Chelsea Green,020 3369 1343,"9, 11 Cale St, London SW3 3QS, UK",Yes,No,Yes,1.0,0.737,1.0,PARTIAL - Name & Phone match (Address different)
John D Wood & Co. Estate Agents Clapham,+44 20 3151 5733,"53 Abbeville Road, London, USA",John D Wood & Co. Estate Agents Clapham,020 3151 5733,"53 Abbeville Rd, London SW4 9JX, UK",Yes,No,Yes,1.0,0.787,1.0,PARTIAL - Name & Phone match (Address different)
John D Wood & Co. Estate Agents Cadogan Street,+44 20 3151 4149,"59 Cadogan Street, London, USA",John D Wood & Co. Estate Agents Cadogan Street,020 3151 4149,"59 Cadogan St, London SW3 2QJ, UK",Yes,No,Yes,1.0,0.746,1.0,PARTIAL - Name & Phone match (Address different)
Sandbox Mutual Insurance,+1 306-653-4232,"250 Willis Crescent, Saskatoon, USA",Sandbox Mutual Insurance,(306) 653-4232,"250 Willis Cres, Saskatoon, SK S7T 0V2, Canada",Yes,No,Yes,1.0,0.737,1.0,PARTIAL - Name & Phone match (Address different)
The Keg Steakhouse + Bar - Saskatoon Brighton,+1 306-244-0024,"143 Gibson Bnd, Saskatoon, USA",The Keg Steakhouse + Bar - Saskatoon Brighton,(306) 244-0024,"143 Gibson Bnd, Saskatoon, SK S7V 0V2, Canada",Yes,Yes,Yes,1.0,0.8,1.0,SUCCESS - All NAP data matches
vimal1 test,nan,USA,,,,No,No,No,0.0,0.0,0.0,FAIL - No results found
McDonald's,3069558665,"1803 Idylwyld Dr N, Saskatoon, USA",McDonald's,(306) 955-8665,"1803 Idylwyld Dr N, Saskatoon, SK S7L 1B6, Canada",Yes,No,Yes,1.0,0.795,1.0,PARTIAL - Name & Phone match (Address different)
testpractic Associates LLC,+1 609-448-6744,USA,Test Technology Associates,(214) 483-3707,"3033 Kellway Dr Suite 117, Carrollton, TX 75006, USA",No,Yes,No,0.615,1.0,0.0,FAIL - Significant NAP inconsistencies
The testpractic Source,+1 732-545-5999,USA,,,,No,No,No,0.0,0.0,0.0,FAIL - No results found
Ben's Great Testing Stuff Machine Store,+1 306-955-1111,"410 222 St E STE 119, Saskatoon, USA",,,,No,No,No,0.0,0.0,0.0,FAIL - No results found
Clint's Wonder Emporium,+1 306-717-4567,"2413 First World Ave, Saskatoon, USA",Nutrien Wonderhub,(306) 249-3574,"950 Spadina Crescent E, Saskatoon, SK S7K 3H6, Canada",No,No,No,0.5,0.476,0.0,FAIL - Significant NAP inconsistencies
testpractic & Therapy Center,+1 732-545-5999,USA,Practice of the Practice,(231) 714-0282,"125 S. Park St., Suite 400, Traverse City, MI 49684, USA",No,Yes,No,0.6,1.0,0.0,FAIL - Significant NAP inconsistencies
A & W Chiropractic Center,+1 908-272-4007,"190 N Ave E, Cranford, USA",A & W Chiropractic Center,(908) 272-4007,"190 N Ave E, Cranford, NJ 07016, USA",Yes,No,Yes,1.0,0.842,1.0,PARTIAL - Name & Phone match (Address different)
Tea Boy,+91 63835 90443,"139a Geetha Rajaji Road House No 2, Coimbatore, USA",TEA BOY,099447 53980,"Railway Station, 274, opposite Podanur, Amman Nagar, Podanur, Coimbatore, Tamil Nadu 641024, India",Yes,No,No,1.0,0.371,0.0,PARTIAL - Only Name matches
Louro testpractic Center,+1 732-545-5999,USA,,,,No,No,No,0.0,0.0,0.0,FAIL - No results found
Salutogenesis testpractic,+1 732-462-6690,USA,,,,No,No,No,0.0,0.0,0.0,FAIL - No results found
NY Disc testpractic (노던 카이로 통증병원),+1 732-462-0049,USA,NY Disc Chiropractic (노던 카이로 통증병원),(718) 746-4919,"154-19 Northern Blvd #2F-5, Flushing, NY 11354, USA",Yes,Yes,No,0.857,1.0,0.0,SUCCESS - Name & Address match (Phone missing/different)
LightSource testpractic,+1 201-250-6123,USA,Light Source USA Inc.,(704) 504-8399,"3935 Westinghouse Blvd, Charlotte, NC 28273, USA",No,Yes,No,0.698,1.0,0.0,FAIL - Significant NAP inconsistencies
SRM Sweets & Cakes - Palayapalayam,+91 95241 14433,"146 Perundurai Road, Erode, USA",SRM Sweets & Cakes - Perundurai,,"7HFM+XJR, Old Bus Stand Road, opp. to Ponnusamy Military Kitchen, Perundurai, Tamil Nadu 638052, India",No,No,No,0.667,0.6,0.0,FAIL - Significant NAP inconsistencies
Hershey Family Chiropractic,+1 732-634-5155,"24 Northeast Dr Suite A, Hershey, USA",Hershey Family Chiropractic,(717) 531-3411,"24 Northeast Dr Suite A, Hershey, PA 17033, USA",Yes,Yes,No,1.0,0.886,0.0,SUCCESS - Name & Address match (Phone missing/different)
Hands On Health Chiropractic  LLC,+1 732-389-8000,"321 Mantoloking Rd, Brick Township, USA","Hands On Health Chiropractic, LLC",(732) 710-7403,"321 Mantoloking Rd, Brick Township, NJ 08723, USA",Yes,Yes,No,1.0,0.892,0.0,SUCCESS - Name & Address match (Phone missing/different)
Smith Chiropractic Family Care & Sports Injury Center,+1 609-448-6743,"261 Springfield Ave Suite 202, Berkeley Heights, USA",Smith Chiropractic Family Care & Sports Injury Center,(908) 464-8899,"261 Springfield Ave Suite 202, Berkeley Heights, NJ 07922, USA",Yes,Yes,No,1.0,1.0,0.0,SUCCESS - Name & Address match (Phone missing/different)
A & W Chiropractic Center,+1 908-272-4007,"190 N Ave E, Cranford, USA",A & W Chiropractic Center,(908) 272-4007,"190 N Ave E, Cranford, NJ 07016, USA",Yes,No,Yes,1.0,0.842,1.0,PARTIAL - Name & Phone match (Address different)
Chiropractic Wellness & Rehab Clinic,+1 732-583-0600,"100 E Chester Pike, Ridley Park, USA",Chiropractic Wellness & Rehab Clinic,(610) 532-3401,"100 E Chester Pike, Ridley Park, PA 19078, USA",Yes,Yes,No,1.0,0.883,0.0,SUCCESS - Name & Address match (Phone missing/different)
Rock Bottom Restaurant & Brewery,+1 331-888-9199,"28256 Diehl Road, Warrenville, USA",Rock Bottom Restaurant & Brewery,(331) 888-9199,"28256 Diehl Rd, Warrenville, IL 60555, USA",Yes,Yes,Yes,1.0,0.845,1.0,SUCCESS - All NAP data matches
Core Chiropractic,+1 718-275-1317,"4730 Centennial Blvd Ste102, Colorado Springs, USA",Core Chiropractic,(719) 599-8682,"4730 Centennial Blvd Ste102, Colorado Springs, CO 80919, USA",Yes,Yes,No,1.0,1.0,0.0,SUCCESS - Name & Address match (Phone missing/different)
Peak Chiropractic Neurology,+1 908-547-0729,"601 Ewing St, Princeton, USA",Peak Chiropractic Neurology,(609) 683-0580,"601 Ewing St, Princeton, NJ 08540, USA",Yes,Yes,No,1.0,0.852,0.0,SUCCESS - Name & Address match (Phone missing/different)
First Care Chiropractic - Perth Amboy,+1 908-754-6888,"511 New Brunswick Ave, Perth Amboy, USA",First Care Chiropractic - Perth Amboy,(848) 203-3280,"511 New Brunswick Ave, Perth Amboy, NJ 08861, USA",Yes,Yes,No,1.0,1.0,0.0,SUCCESS - Name & Address match (Phone missing/different)
New Bangalore Iyengar Bakery,+91 97301 86103,"Talegaon Dabhade Road, Talegaon Dabhade, USA",New Bangalore Iyengar Bakery,097301 86103,"Shop No.1, Vishal Sagar Complex, Rao Colony, Talegaon Dabhade Rd, Rao Colony, Tukaram Nagar, Talegaon Dabhade, Maharashtra 410506, India",Yes,No,Yes,1.0,0.667,1.0,PARTIAL - Name & Phone match (Address different)
Hanson of Sonoma Distillery,+1 707-343-1805,"Burndale Rd, Sonoma, USA",Hanson of Sonoma Distillery,(707) 343-1805,"22985 Burndale Rd Building C, Sonoma, CA 95476, USA",Yes,Yes,Yes,1.0,0.75,1.0,SUCCESS - All NAP data matches
Garden State Spinal Care,+1 732-545-5999,"8 Hillside Ave #103, Montclair, USA",Garden State Spinal Care,(973) 705-7010,"8 Hillside Ave #103, Montclair, NJ 07042, USA",Yes,Yes,No,1.0,0.877,0.0,SUCCESS - Name & Address match (Phone missing/different)
Monroe Wellness Center,+1 609-317-2004,"7 Centre Dr #10, Monroe Township, USA",Monroe Wellness Center,(609) 662-4714,"7 Centre Dr #10, Monroe Township, NJ 08831, USA",Yes,Yes,No,1.0,0.883,0.0,SUCCESS - Name & Address match (Phone missing/different)
Strive2Move Chiropractor,+1 908-547-0729,"1910 Washington Valley Rd STE 4, Martinsville, USA",Strive2Move Chiropractor,(908) 547-0729,"1910 Washington Valley Rd STE 4, Martinsville, NJ 08836, USA",Yes,Yes,Yes,1.0,0.914,1.0,SUCCESS - All NAP data matches
ABC PRIVATE LIMITED,+91 1234 567 890,"Rathinam Street, Chennai, USA",ABC Techno Labs India Private Limited,094442 60000,"#400, 13th Street, Godrej Rd, North Phase, Sidco Industrial Estate, Ambattur, Chennai, Tamil Nadu 600098, India",No,No,No,0.679,0.5,0.0,FAIL - Significant NAP inconsistencies
Support Saskatoon Libraries,+1 306-975-3202,"222 3rd Ave N, Saskatoon, USA",Support Saskatoon Libraries,(306) 975-3202,"222 3rd Ave N, Saskatoon, SK S7K 0J5, Canada",Yes,No,Yes,1.0,0.765,1.0,PARTIAL - Name & Phone match (Address different)
NY Chiropractic & Physical Therapy,+1 908-967-4676,"1163 Forest Ave, Staten Island, USA",NY Chiropractic & Physical Therapy,(718) 727-0055,"1163 Forest Ave, Staten Island, NY 10310, USA",Yes,Yes,No,1.0,1.0,0.0,SUCCESS - Name & Address match (Phone missing/different)
The Chiro Studio,+1 732-634-5155,"2807 Brunswick Pike Suite 2, Lawrence Township, USA",The Chiro Studio,(609) 557-7838,"2807 Brunswick Pike Suite 2, Lawrence Township, NJ 08648, USA",Yes,Yes,No,1.0,0.916,0.0,SUCCESS - Name & Address match (Phone missing/different)
Natural Health Chiropractic,+1 732-583-0600,"495 Union Ave #1b, Middlesex, USA",Natural Health Chiropractic,(732) 271-0400,"495 Union Ave #1b, Middlesex, NJ 08846, USA",Yes,Yes,No,1.0,0.87,0.0,SUCCESS - Name & Address match (Phone missing/different)
Starbucks Reserve Roastery,(206) 624-0173,"1124 Pike St, Seattle, USA",Starbucks Reserve Roastery,(206) 624-0173,"1124 Pike St, Seattle, WA 98101, USA",Yes,Yes,Yes,1.0,0.842,1.0,SUCCESS - All NAP data matches
Active Release and testpractic Center: Dr. Anthony Criscuolo  DC,+1 732-280-1800,USA,"Active Release and Chiropractic Center: Dr. Anthony Criscuolo, DC",(732) 280-1800,"3350 NJ-138 Building 2 Suite 227, Wall Township, NJ 07719, USA",Yes,Yes,Yes,0.927,1.0,1.0,SUCCESS - All NAP data matches
Park testpractic & Posture,+1 732-389-8000,USA,Park Chiropractic & Posture,(732) 342-7575,"85 Raritan Ave Suite 430, Highland Park, NJ 08904, USA",Yes,Yes,No,0.816,1.0,0.0,SUCCESS - Name & Address match (Phone missing/different)
Icy cakes by IP,9876543210,"14 B & 15A - Zone 1C , Uptown, Kathipara Urban Square Kathipara Junction, Guindy, near Pizza Hut, Viralur, Chakrapani Colony,, Chennai, USA","UPTOWN | 24/7 entertainment centre, Kathipara Urban Square",1800 4253 1111,"Kathipara Bridge, Under, Metro Station Guindy, Kathipara Junction, near Alandur, Ramapuram, Chakrapani Colony, St.Thomas Mount, Tamil Nadu 600016, India",No,No,No,0.171,0.537,0.0,FAIL - Significant NAP inconsistencies
Accoland,+91 99541 71224,"Guwahati-Accoland-Rani Road, Pat Gaon, USA",Accoland,099541 71224,"Guwahati-Accoland-Rani Rd, near BSF Headquarters, Pat Gaon, Garbhanga F.V., Assam 781015, India",Yes,Yes,Yes,1.0,0.714,1.0,SUCCESS - All NAP data matches
John D Wood & Co. Estate Agents Lymington,+44 1590 540089,"53 High Street, Lymington, USA",John D Wood & Co. Estate Agents Lymington,01590 540089,"53 High St, Lymington SO41 9ZB, UK",Yes,No,Yes,1.0,0.733,1.0,PARTIAL - Name & Phone match (Address different)
Testing automation,1234567890,"chennai, chennai, USA",Automated Test System Tech,044 4214 4180,"L 49, Northern Ave Rd, Ambattur Industrial Estate, Chennai, Tamil Nadu 600058, India",No,No,No,0.318,0.667,0.0,FAIL - Significant NAP inconsistencies
John D Wood & Co. Estate Agents Winchester,1962920473,"82 High Street, Winchester, USA",John D Wood & Co. Estate Agents Winchester,01962 920473,"82 High St, Winchester SO23 9AP, UK",Yes,No,Yes,1.0,0.742,1.0,PARTIAL - Name & Phone match (Address different)
The Brew Room,+91 97109 47380,"146, Dr Radha Krishnan Salai, Chennai, USA",The Brew Room,097109 47380,"146, Dr Radha Krishnan Salai, Mylapore, Chennai, Tamil Nadu 600004, India",Yes,Yes,Yes,1.0,0.714,1.0,SUCCESS - All NAP data matches
testpractic Center at Styertowne,+1 609-239-3128,USA,Chiropractic Center at Styertowne,(973) 777-6995,"501 Allwood Rd, Clifton, NJ 07012, USA",Yes,Yes,No,0.862,1.0,0.0,SUCCESS - Name & Address match (Phone missing/different)
Pico Family testpractic Center,+1 609-356-1442,USA,,,,No,No,No,0.0,0.0,0.0,FAIL - No results found
Upper Cervical testpractic New Jersey,+1 732-280-1800,USA,Montclair Upper Cervical Chiropractic,(973) 744-3456,"155 Prospect Ave Suite 202, West Orange, NJ 07052, USA",No,Yes,No,0.595,1.0,0.0,FAIL - Significant NAP inconsistencies
Patriot testpractic Center,+1 732-661-0330,USA,The Patriot Center,(757) 727-1079,"1589 Wingfield Dr, Hampton, VA 23666, USA",No,Yes,No,0.636,1.0,0.0,FAIL - Significant NAP inconsistencies
Back to Health testpractic & Wellness Center,+1 609-278-2566,USA,Back To Health Chiropractic and Wellness Center,(972) 539-6564,"1900 Long Prairie Rd Suite 130, Flower Mound, TX 75022, USA",Yes,Yes,No,0.854,1.0,0.0,SUCCESS - Name & Address match (Phone missing/different)
Natural Health testpractic,+1 732-583-0600,USA,Natural Health Strategies,(714) 257-5463,"5100 E La Palma Ave Ste 208, Anaheim, CA 92807, USA",No,Yes,No,0.706,1.0,0.0,FAIL - Significant NAP inconsistencies
I Know My test  testpractic Wellness,+1 609-448-6742,USA,,,,No,No,No,0.0,0.0,0.0,FAIL - No results found
ProActive testpractic Center,+1 908-967-4676,USA,Proactive Sports Performance,(818) 597-6201,"31425 Agoura Rd, Westlake Village, CA 91361, USA",No,Yes,No,0.571,1.0,0.0,FAIL - Significant NAP inconsistencies
Atlas testpractic Wellness Center,+1 201-250-6122,USA,Atlas Chiropractic and Wellness Center,(714) 540-6792,"2900 Bristol St Ste A201, Costa Mesa, CA 92626, USA",Yes,Yes,No,0.817,1.0,0.0,SUCCESS - Name & Address match (Phone missing/different)
A & W testpractic Center,+1 908-272-4007,USA,AW Driving School & Testing Center,(610) 508-3011,"555 Union Blvd, Allentown, PA 18109, USA",No,Yes,No,0.556,1.0,0.0,FAIL - Significant NAP inconsistencies
Blitz testpractic Center,+1 609-395-0880,USA,,,,No,No,No,0.0,0.0,0.0,FAIL - No results found
Chiropractic Center at Styertowne,+1 609-239-3128,"501 Allwood Rd, Clifton, USA",Chiropractic Center at Styertowne,(973) 777-6995,"501 Allwood Rd, Clifton, NJ 07012, USA",Yes,Yes,No,1.0,0.852,0.0,SUCCESS - Name & Address match (Phone missing/different)
Horowitz Jay S DC,+1 718-275-1315,"415 Wall St, Princeton, USA",Horowitz Jay S DC,(609) 683-1700,"415 Wall St, Princeton, NJ 08540, USA",Yes,Yes,No,1.0,0.847,0.0,SUCCESS - Name & Address match (Phone missing/different)
Hee N. Park  DC,+1 732-534-3866,"85 Raritan Ave Suite 430, Highland Park, USA","Hee N. Park, DC",(732) 342-7575,"85 Raritan Ave Suite 430, Highland Park, NJ 08904, USA",Yes,Yes,No,1.0,0.903,0.0,SUCCESS - Name & Address match (Phone missing/different)
Grunstein Family Chiropractic Center,+1 609-200-3690,"340 E Northfield Rd # 2E, Livingston, USA",Grunstein Family Chiropractic Center,(973) 640-0760,"340 E Northfield Rd # 2E, Livingston, NJ 07039, USA",Yes,Yes,No,1.0,0.892,0.0,SUCCESS - Name & Address match (Phone missing/different)
LightSource Chiropractic,+1 201-250-6123,"16 Leigh St, Clinton, USA",LightSource Chiropractic,(908) 238-1081,"16 Leigh St, Clinton, NJ 08809, USA",Yes,No,No,1.0,0.836,0.0,PARTIAL - Only Name matches
About You Chiropractic,+1 732-583-0600,"245 Main St Suite 2M, Matawan, USA",About You Chiropractic,(732) 583-0600,"245 Main St Suite 2M, Matawan, NJ 07747, USA",Yes,Yes,Yes,1.0,0.877,1.0,SUCCESS - All NAP data matches
Silverstein Family Chiropractic,+1 201-250-6125,"1709 Langhorne Newtown Rd #3, Langhorne, USA",Silverstein Family Chiropractic,(215) 860-0450,"1709 Langhorne Newtown Rd #3, Langhorne, PA 19047, USA",Yes,Yes,No,1.0,0.901,0.0,SUCCESS - Name & Address match (Phone missing/different)
Unna Chiropractic Care,+1 732-534-3866,"540 Bound Brook Rd Suite 2, Middlesex, USA",Unna Chiropractic Care,(732) 534-3866,"540 Bound Brook Rd Suite 2, Middlesex, NJ 08846, USA",Yes,Yes,Yes,1.0,0.899,1.0,SUCCESS - All NAP data matches
Shivahare Dhaba And Restaurant,+91 89896 84344,"Khajoori Sadak, Sehore, USA",Shivahare Dhaba And Restaurant,089896 84344,"Khajoori Sadak, Bhopal, NH-86, Bhopal Road, Sehore, Sehore, Bhopal, Madhya Pradesh 466651, India",Yes,Yes,Yes,1.0,0.75,1.0,SUCCESS - All NAP data matches
Brian K. Rebisz  DC,+1 732-280-1800,"8420 West Chester Pike, Upper Darby Township, USA","Brian K. Rebisz, DC",(610) 446-2828,"8420 West Chester Pike, Upper Darby Township, PA 19082, USA",Yes,Yes,No,1.0,1.0,0.0,SUCCESS - Name & Address match (Phone missing/different)
Back In Action testpractic,+1 609-434-0318,USA,Back in Action Sports Chiropractic,(818) 275-2410,"28348 Roadside Dr suite 203B, Agoura Hills, CA 91301, USA",Yes,Yes,No,0.8,1.0,0.0,SUCCESS - Name & Address match (Phone missing/different)
The Ocean Pearl Resort And Spa,+91 836 222 6600,"Hubli - Dharwad Road, Hubballi, USA",The Ocean Pearl Resort And Spa,0836 222 6600,"Hubli - Dharwad Rd, Rayapur, Dharwad, Karnataka 580009, India",Yes,No,Yes,1.0,0.488,1.0,PARTIAL - Name & Phone match (Address different)
The Monkey Puzzle Tree Ltd,+44 113 450 3639,"26 Roundhay Road, Leeds, USA",The Monkey Puzzle Tree Ltd,0113 450 3639,"26 Roundhay Rd, Leeds LS7 1AB, UK",Yes,No,Yes,1.0,0.772,1.0,PARTIAL - Name & Phone match (Address different)
John D Wood & Co. Estate Agents Earl's Court,+44 20 3151 4115,"239 Earls Court Road, London, USA",John D Wood & Co. Estate Agents Earl's Court,020 3151 4115,"239 Earls Ct Rd, London SW5 9AH, UK",Yes,No,Yes,1.0,0.75,1.0,PARTIAL - Name & Phone match (Address different)
John D Wood & Co. Estate Agents Wimbledon,+44 20 3151 4293,"5 Church Road, London, USA",John D Wood & Co. Estate Agents Wimbledon,020 3151 4293,"5 Church Rd, London SW19 5DW, UK",Yes,No,Yes,1.0,0.741,1.0,PARTIAL - Name & Phone match (Address different)
Arial Electric Ltd,+1 306-222-9025,"1904 Saskatchewan Ave, Saskatoon, USA",Arial Electric Ltd,(306) 222-9025,"1904 Saskatchewan Ave, Saskatoon, SK S7K 1R2, Canada",Yes,Yes,Yes,1.0,0.81,1.0,SUCCESS - All NAP data matches
In The Zone Cleaning Services,3064711623,"822 Ave O S, Saskatoon, USA",,,,No,No,No,0.0,0.0,0.0,FAIL - No results found
Badger's Test - DO NOT DELETE,3062279834,"1 Aspen St, Humboldt, USA",,,,No,No,No,0.0,0.0,0.0,FAIL - No results found
Bliss story,1234567890,"Chennai, chennai, USA",Secret Story Chennai,084280 75000,"23, 13, Khader Nawaz Khan Rd, Srirampuram, Thousand Lights West, Nungambakkam, Chennai, Poombukar Nagar, Tamil Nadu 600006, India",No,Yes,No,0.452,1.0,0.0,FAIL - Significant NAP inconsistencies
Empire Wine,nan,USA,Empire Wine & Liquor,(518) 694-8503,"1440 Central Ave, Albany, NY 12205, USA",Yes,Yes,No,0.759,1.0,0.0,SUCCESS - Name & Address match (Phone missing/different)
Monster Mini Golf Calgary,+1 587-354-0244,"2020 32 Avenue Northeast, Calgary, USA",Monster Mini Golf Calgary,(587) 354-0244,"2020 32 Ave NE, Calgary, AB T2E 6T4, Canada",Yes,No,Yes,1.0,0.632,1.0,PARTIAL - Name & Phone match (Address different)
TRIFECTA PLUMBING HEATING & AIR ltd,+1 604-969-4308,"780 Beatty Street, Vancouver, USA",TRIFECTA PLUMBING HEATING & AIR ltd,(604) 969-4308,"780 Beatty St, Vancouver, BC V6B 2M1, Canada",Yes,No,Yes,1.0,0.694,1.0,PARTIAL - Name & Phone match (Address different)
Bharath Mall,+91 824 427 9330,"Bejai Main Road, Mangaluru, USA",Bharath Mall,0824 427 9330,"Bejai Main Rd, opp. KSRTC Bustand, Lalbagh, Mangaluru, Karnataka 575003, India",Yes,No,Yes,1.0,0.6,1.0,PARTIAL - Name & Phone match (Address different)
Ben's Basic Business,3067130033,"351 Avondale Road, Saskatoon, USA",Benesh Bitz & Company,(306) 664-0033,"1630 Quebec Ave, Saskatoon, SK S7K 1V7, Canada",No,No,No,0.41,0.486,0.0,FAIL - Significant NAP inconsistencies
Sandbox Mutual Insurance,+1 306-653-4232,"250 Willis Crescent, Saskatoon, USA",Sandbox Mutual Insurance,(306) 653-4232,"250 Willis Cres, Saskatoon, SK S7T 0V2, Canada",Yes,No,Yes,1.0,0.737,1.0,PARTIAL - Name & Phone match (Address different)
Daijiworld Audio Visual Studio,7022183270,"Airport Road, Mangaluru, USA",Daijiworld Audio Visual Studio,,"Airport Rd, Bondel, Mangaluru, Karnataka 575008, India",Yes,No,No,1.0,0.605,0.0,PARTIAL - Only Name matches
John D Wood & Co. Estate Agents St Margaret's,+44 20 3369 4886,"127 Saint Margarets Road, Twickenham, USA",John D Wood & Co. Estate Agents St Margaret's,020 3369 4886,"127 St. Margarets Rd, St Margarets, Twickenham TW1 1RG, UK",Yes,No,Yes,1.0,0.688,1.0,PARTIAL - Name & Phone match (Address different)
John D Wood & Co. Estate Agents Esher and CHK Mountford Lettings,+44 1372 390049,"53 High Street, Esher, USA",John D Wood & Co. Estate Agents Esher and CHK Mountford Lettings,01372 390049,"53 High St, Esher KT10 9RQ, UK",Yes,No,Yes,1.0,0.692,1.0,PARTIAL - Name & Phone match (Address different)
Dharma Digital Marketing Agency,+1 305-613-2396,"3555 Northwest 83rd Avenue Suite 320, Doral, USA",Dharma Digital Marketing Agency,(305) 613-2396,"3555 NW 83rd Ave Suite 320, Doral, FL 33122, USA",Yes,Yes,Yes,1.0,0.791,1.0,SUCCESS - All NAP data matches
McDonald's,3069558677,"1706 Preston Ave N, Saskatoon, USA",McDonald's,(306) 955-8677,"1706 Preston Ave N, Saskatoon, SK S7N 4Y1, Canada",Yes,No,Yes,1.0,0.795,1.0,PARTIAL - Name & Phone match (Address different)
Forest Hills testpractic & Wellness,+1 732-389-8000,USA,Forest Hills Chiropractic & Wellness,(718) 268-4464,"71-36 110th St Ste Sp1, Queens, NY 11375, USA",Yes,Yes,No,0.866,1.0,0.0,SUCCESS - Name & Address match (Phone missing/different)
